category,value,country_code,substitution,metric
China,24.0217942370347,chn,presub,rate
China,22.8498637956618,chn,postsub,rate
China,13.3808291343845,chn,presub,import_share
China,8.92143547038676,chn,postsub,import_share
China,3.21431524187103,chn,presub,contribution
China,2.03853585360123,chn,postsub,contribution
Canada,8.12433654149082,ca,presub,rate
Canada,5.30453737755163,ca,postsub,rate
Canada,12.5638177399534,ca,presub,import_share
Canada,16.0751393588532,ca,postsub,import_share
Canada,1.02072683565334,ca,presub,contribution
Canada,0.85271177578388,ca,postsub,contribution
Mexico,12.7801017320835,mx,presub,rate
Mexico,11.1278456161034,mx,postsub,rate
Mexico,15.7378472382499,mx,presub,import_share
Mexico,19.020449064252002,mx,postsub,import_share
Mexico,2.01131288748822,mx,presub,contribution
Mexico,2.11656620735955,mx,postsub,contribution
Rest of World,15.1188568925669,row,presub,rate
Rest of World,13.1230753562052,row,postsub,rate
Rest of World,58.3175058874122,row,presub,import_share
Rest of World,55.9829761065081,row,postsub,import_share
Rest of World,8.81694025843215,row,presub,contribution
Rest of World,7.34668814110338,row,postsub,contribution
Total,15.0632952234447,total,presub,rate
Total,12.354501977848,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
Total,15.0632952234447,total,presub,contribution
Total,12.354501977848,total,postsub,contribution
