category,value,country_code,substitution,metric
China,27.893650104865955,chn,presub,rate
China,27.893650104865955,chn,postsub,rate
China,13.62,chn,presub,import_share
China,8.319349497486018,chn,postsub,import_share
Canada,13.106900944644142,ca,presub,rate
Canada,13.106900944644142,ca,postsub,rate
Canada,12.629999999999999,ca,presub,import_share
Canada,16.65091893326091,ca,postsub,import_share
Mexico,10.588552949892842,mx,presub,rate
Mexico,10.588552949892842,mx,postsub,rate
Mexico,15.481,mx,presub,import_share
Mexico,18.913747406802727,mx,postsub,import_share
Rest of World,15.611045884071032,row,presub,rate
Rest of World,15.611045884071032,row,postsub,rate
Rest of World,58.269000000000005,row,presub,import_share
Rest of World,56.11598416245035,row,postsub,import_share
Total,16.19013094195356,total,presub,rate
Total,15.265973885661626,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
